animeTitle	Mobile Suit SD Gundam Mk II
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	1361
animeRank	
animePopularity	7989
animeDescription	"Mobile Suit SD Gundam Mk II delivers with more tongue-in-cheek humor than the first series. In ""The Rolling Colony Affair,"" a colony is hosting a cabaret show featuring the girls of Gundam. But the show turns disastrous when men and mobile suits go crazy over the girls, sending the colony rolling out of control. A parody of the videogame RPG genre, ""Gundam Legend"" has Amuro, Kamille and Judau sent on a perilous quest to rescue the princess of the Zeta Kingdom from Char Aznable and his vicious Zeon MS forces. 

(Source: ANN)"
animeRelated	['Mobile Suit SD Gundam Mk I', 'Mobile Suit SD Gundam Mk III']
animeCharacters	['Aznable, Char', 'Ray, Amuro', 'Bidan, Kamille', 'Ashta, Judau', 'Karn, Haman', 'Noa, Bright', 'Haro', 'Mass, Sayla', 'Zabi, Mineva Lao', 'Ple, Elpeo']
animeVoices	['Ikeda, Shuuichi', 'Furuya, Toru', 'Tobita, Nobuo', 'Yao, Kazuki', 'Sakakibara, Yoshiko', 'Suzuoki, Hirotaka', 'Inoue, You', 'Itou, Miki', 'Honda, Chieko']
animeStaff	[['Yatate, Hajime', 'Producer'], ['Amino, Tetsuro', 'Director, Script'], ['Chiba, Kouichi', 'Sound Director'], ['Yuuki, Risa', 'Theme Song Performance']]
