animeTitle	Inmou
animeType	OVA
animeNumEpisode	2
releaseDate	2020-03-27 00:00:00
endDate	
animeNumMembers	3219
animeScore	5.69
animeUsers	1166
animeRank	
animePopularity	8230
animeDescription	"After being childhood friends for many years, she sees more in him than just a friend. She wants a more intimate relationship... It just so happens her parents won't be home and she convinces him to come over.

(Source: hanime)"
animeRelated	['Inmou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
