animeTitle	K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni
animeType	Movie
animeNumEpisode	1
releaseDate	2018-10-06 00:00:00
endDate	
animeNumMembers	
animeScore	7.43
animeUsers	4367
animeRank	
animePopularity	4306
animeDescription	"Misaki Yata is a youth whose reckless and immature attitude has led him to be shunned by his classmates. Saruhiko Fushimi is a loner who views the world in a pessimistic way. Despite being polar opposites, the two become the best of friends.

(Source: TubiTV)"
animeRelated	['K: Lost Small World', 'K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai', 'K: Seven Stories Movie 5 - Memory of Red - Burn', 'K: Seven Stories - The Idol K']
animeCharacters	['Yata, Misaki', 'Fushimi, Saruhiko', 'Oogai, Aya', 'Suou, Mikoto', 'Munakata, Reishi', 'Totsuka, Tatara', 'Kusanagi, Izumo', 'Hisui, Nagare', 'Kamamoto, Rikio', 'Fujishima, Kousuke']
animeVoices	['Fukuyama, Jun', 'Miyano, Mamoru', 'Ogura, Yui', 'Tsuda, Kenjirou', 'Sugita, Tomokazu', 'Kaji, Yuki', 'Sakurai, Takahiro', 'Okitsu, Kazuyuki', 'Nakamura, Yuuichi', 'Onitsuka, Shingo']
animeStaff	[['Tanaka, Ryou', 'Sound Director']]
