animeTitle	Yurumates 3D OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2012-08-30 00:00:00
endDate	
animeNumMembers	1753
animeScore	6.12
animeUsers	820
animeRank	8089
animePopularity	9800
animeDescription	"An original anime DVD bundled with a limited edition of saxyun's 4th Yurumates manga volume. The bundled DVD contained the opening animation sequence for the television anime series and its first episode, as well as two unaired episodes. The limited edition also included an exclusive booklet.

(Source: ANN)"
animeRelated	['Yurumates', 'Yurumates 3D', 'Yurumates 3D Plus']
animeCharacters	"['Aida, Yurume', 'Matsukichi', 'Kawano, Sae', 'Tanaka, Kumi', ""Sae's Sister""]"
animeVoices	['Momoi, Haruko', 'Hino, Satoshi', 'Kuwatani, Natsuko', 'Matsuki, Miyu']
animeStaff	[['Momoi, Haruko', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition'], ['saxyun', 'Original Creator']]
