animeTitle	Mobile Suit Gundam MS IGLOO: The Hidden One Year War
animeType	OVA
animeNumEpisode	3
releaseDate	2004-07-19 00:00:00
endDate	2004-11-03 00:00:00
animeNumMembers	
animeScore	6.64
animeUsers	6787
animeRank	
animePopularity	4675
animeDescription	"The year is Universal Century 0079. Oliver May is a technical officer in the Zeon 603rd Technical Evaluation Unit , in charge of testing new military technology. Stationed in the Jotunheim, a civilian transport ship that was converted into military use, Oliver must head into battle and experience the One Year War, only this time from the perspective of a weapon tester who struggles to make an impact on an evolving war during changing times. 

(Source: ANN)"
animeRelated	['Mobile Suit Gundam', 'Mobile Suit Gundam MS IGLOO: Apocalypse 0079']
animeCharacters	['Kruger, Ehrlich', 'May, Oliver', 'Cadillac, Monique', 'Hemme, Aleksandro', 'Washiya, Hideto', 'Prochnow, Martin', 'Aznable, Char', 'Schacht, Albert', 'Luc Duvall, Jean', 'Sonnen, Demeziere']
animeVoices	['Ishikawa, Hideo', 'Nagasawa, Miki', 'Houki, Katsuhisa', 'Fukuyama, Jun', 'Iizuka, Shouzou', 'Ooki, Tamio', 'Hashi, Takaya', 'Amada, Masuo']
animeStaff	[['Yatate, Hajime', 'Producer'], ['Imanishi, Takashi', 'Producer, Director, Script'], ['Fujino, Sadayoshi', 'Sound Director'], ['Taja', 'Theme Song Performance']]
