animeTitle	Mayonaka no Occult Koumuin: Hitoribocchi no Kyuuketsuki
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	2847
animeRank	
animePopularity	5892
animeDescription	2 Unaired Episodes of Mayonaka no Occult Koumuin.
animeRelated	['Mayonaka no Occult Koumuin']
animeCharacters	['Miyako, Arata', 'Himezuka, Theo', 'Senda, Reiji', 'Sakaki, Kyouichi', 'Witch of the West', 'Biska', 'Puck', 'Kohl', 'Sakura', 'Saejima, Yousuke']
animeVoices	['Fukuyama, Jun', 'Irino, Miyu', 'Yusa, Kouji', 'Maeno, Tomoaki', 'Fukami, Rica', 'Tazawa, Masumi', 'Kokido, Shiho', 'Maeda, Rena', 'Park, Romi', 'Tsuda, Kenjirou']
animeStaff	[['Fukuyama, Jun', 'Theme Song Lyrics, Theme Song Performance'], ['Toki, Shunichi', 'Theme Song Performance']]
