animeTitle	Fruits Version
animeType	OVA
animeNumEpisode	2
releaseDate	1985-11-21 00:00:00
endDate	1986-01-01 00:00:00
animeNumMembers	
animeScore	5.13
animeUsers	200
animeRank	
animePopularity	12021
animeDescription	"Maki gets groped on a train, and although the molester is stopped, it awakens her sexual awareness. She has a talk about it with her older sister, who unexpectedly decides to give Maki a hands-on lesson. Then there's also their brother, who just happens to peek in on them.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
