animeTitle	Byousoku 5 Centimeter
animeType	Movie
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.64
animeUsers	476873
animeRank	
animePopularity	150
animeDescription	"What happens when two people love each other but just aren't meant to be together? Takaki Toono and Akari Shinohara are childhood friends, but circumstances beyond their control tear them apart. They promise to stay in contact, and although the progression of time widens the distance between them, the chain of memories remains ever-present.

Byousoku 5 Centimeter is a romantic drama that focuses on the mundane and harsh reality of long-distance relationships. Stuck in the past and unable to make any new memories, Takaki and Akari cling to the hope of seeing each other again. They live their everyday lives half-heartedly, both hurting themselves and the people around them.

[Written by MAL Rewrite]"
animeRelated	['Byousoku 5 Centimeter']
animeCharacters	['Toono, Takaki', 'Sumida, Kanae', 'Shinohara, Akari', 'Sumida, Sister', 'Mizuno, Risa']
animeVoices	['Mizuhashi, Kenji', 'Hanamura, Satomi', 'Onoue, Ayaka', 'Mizuno, Risa']
animeStaff	[['Chung, Jin Ho', 'Producer'], ['Shinkai, Makoto', 'Director, Sound Director, Episode Director, Script, Storyboard, Editing, Original Character Design, Original Creator, Art Director, Director of Photography, Color Design'], ['Foster, Steven', 'Script, ADR Director'], ['Yamazaki, Masayoshi', 'Theme Song Performance']]
