animeTitle	"b""Dragon's Dogma"""
animeType	b'ONA'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	5.81
animeUsers	10029
animeRank	
animePopularity	
animeDescription	"b'Based on a world-famous action RPG set in an open world, Dragon\'s Dogma from Capcom will be brought to life as a Netflix original anime series. The story follows a man\'s journey seeking revenge on a dragon who stole his heart. On his way, the man is brought back to life as an ""Arisen."" An action adventure about a man challenged by demons who represent the seven deadly sins of humans. \n\n(Source: Netflix)'"
animeRelated	"[b""Dragon's Dogma Progress"", b""Dragon's Dogma Revives""]"
animeCharacters	[b'Hannah', b'Ethan', b'Louis', b'Dragon', b'Saray', b'Olivia']
animeVoices	[b'\nMizuki, Nana\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nSanpei, Yuuko\nJapanese\n', b'\nSugou, Takayuki\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSugai, Shinya\n\nDirector, Episode Director\n\n', b'\nSunayama, Kurasumi\n\nScript\n\n', b'\nCapcom\n\nOriginal Creator\n\n', b'\nNishimura, Iku\n\nCharacter Design\n\n']
