animeTitle	b'Happiness!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	14554
animeRank	
animePopularity	
animeDescription	"b""Kamizaka Haruhi having been rescued when she was young by a mage, longed to be a mage herself, so she enrolled into a special school that allows regular and magic classes into two different sections. Together with her rival/best friend, Hiiragi Anri, they study magic together while she is searching for the boy that saved her years ago, to give him a Valentines' chocolate.\n\n(Source: ANN)"""
animeRelated	[b'Happiness!', b'Happiness!: Watarase Jun no Kareinaru Ichinichi']
animeCharacters	[b'Watarase, Jun', b'Kamisaka, Haruhi', b'Hiiragi, Anri', b'Kohinata, Yuuma', b'Kohinata, Sumomo', b'Takamine, Koyuki', b'Kohinata, Otoha', b'Kamijo, Saya', b'Shikimori, Ibuki', b'Kamijyo, Shinya']
animeVoices	[b'\nYuimoto, Michiru\nJapanese\n', b'\nSakakibara, Yui\nJapanese\n', b'\nNaruse, Mia\nJapanese\n', b'\nOhara, Takashi\nJapanese\n', b'\nGotou, Mai\nJapanese\n', b'\nHinata, Yura\nJapanese\n', b'\nHoshino, Chizuko\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nIchimura, Oma\nJapanese\n', b'\nItou, Kentarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHara, Hiroshi\n\nDirector, Storyboard\n\n', b'\nHamano, Kazuzou\n\nSound Director\n\n', b'\nNakano, Hideaki\n\nEpisode Director, Key Animation\n\n', b'\nUchiyama, Mana\n\nEpisode Director\n\n']
