animeTitle	Korakuen Yuuenchi: Luna Park
animeType	Special
animeNumEpisode	1
releaseDate	1996-01-01 00:00:00
endDate	
animeNumMembers	68
animeScore	
animeUsers	
animeRank	16873
animePopularity	18138
animeDescription	"An animated TV commercial for the Japanese Amusement Park 'Korakuen Yuuenchi' directed by Katsuhiro Otomo. Otomo's illustrations are also been used in the printed campaign.

(Source: Chronotomo)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
