animeTitle	Top wo Nerae 2! Diebuster
animeType	OVA
animeNumEpisode	6
releaseDate	2004-10-03 00:00:00
endDate	2006-08-25 00:00:00
animeNumMembers	68549
animeScore	7.65
animeUsers	31961
animeRank	1175
animePopularity	2078
animeDescription	"Generations have passed since the war with the Space Monsters started, and none remain who know how it began, with even records of those times being scarce. It is a lost cause, but humanity still fights against them, relying on the ""Topless"": a group of elite space pilots with special powers that allow them to use the Buster Machines—the last hope against the Space Monsters.  

Nono, a girl from a remote Martian town, has heard tales all her life of the legendary pilot ""Nono-Riri,"" and wants nothing more than to leave her humble life behind and follow in the footsteps of her idol. Though she has no idea of the dangers that lie ahead, nothing will stop her from achieving her dream. While Nono is down on her luck, she chances upon the lonesome Topless pilot Lal'C Melk Mark, and decides to stake her entire future on following Lal'C, no matter the cost.

[Written by MAL Rewrite]"
animeRelated	['Top wo Nerae 2!', 'Top wo Nerae! Next Generation', 'Top wo Nerae! Gunbuster', 'Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!', 'Top wo Nerae 2! Kagaku Kouza', 'Top wo Nerae 3!']
animeCharacters	"['Nono', ""Melk Mark, Lal'C"", 'Science, Tycho', 'Vacheron, Nicola', 'Takashiro, Casio', 'Hatori']"
animeVoices	['Fukui, Yukari', 'Sakamoto, Maaya', 'Sawashiro, Miyuki', 'Iwata, Mitsuo', 'Yamazaki, Takumi', 'Umezu, Hideyuki']
animeStaff	[['Tsurumaki, Kazuya', 'Director, Episode Director, Storyboard, Planning, Key Animation'], ['Nakano, Tooru', 'Sound Director'], ['Nishigori, Atsushi', 'Episode Director, Animation Director, Key Animation, Assistant Animation Director'], ['Ootsuka, Masahiko', 'Episode Director, Assistant Director']]
