animeTitle	Shouwa Monogatari
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	1178
animeRank	
animePopularity	6868
animeDescription	Dramatic story of the Yamazaki family during the year Showa 39 (1964), the year that Tokyo hosted the Summer Olympics.
animeRelated	['Shouwa Monogatari (Movie)']
animeCharacters	['Yamazaki, Taichi', 'Yamazaki, Yuuko', 'Yamazaki, Kouhei', 'Sawatari, Yuusuke', 'Miyamoto, Shinichi', 'Ootani, Setsuko', 'Takeguchi, Hiroko', 'Kasai, Toshiya', 'Takayanagi, Ryou', 'Yamazaki, Kanoko']
animeVoices	['Aoki, Makoto', 'Fukuen, Misato', 'Chiba, Shouya', 'Yoshino, Hiroyuki', 'Takagi, Wataru', 'Tamagawa, Sakiko']
animeStaff	[['Takeuchi, Hiroaki', 'Producer'], ['Honda, Yasunori', 'Sound Director'], ['Shiraishi, Michita', 'Episode Director'], ['Ishikura, Kenichi', 'Episode Director, Assistant Director']]
