animeTitle	Blind Night
animeType	OVA
animeNumEpisode	3
releaseDate	2002-11-22 00:00:00
endDate	2004-07-23 00:00:00
animeNumMembers	
animeScore	5.6
animeUsers	527
animeRank	
animePopularity	9371
animeDescription	"When Yoji, a college student finds a demonic book, he decides to follow its writings and make a female student - Rie, his sexual slave. However, he's not satisified with only one slave.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
