animeTitle	b'Tsubu\xe2\x98\x85Doll'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The series centers around 16 girls who want to fulfill their dreams of being on stage in the city of Sagamihara. Rather than being a story where the characters compete to be the ""top idol,"" the girls will bring life and energy to the city through local idol activities. A number of events are planned surrounding the project to bring vitalization to Sagamihara, in addition to a drama CD and radio program.\n\n(Source: MAL News)'"
animeRelated	[]
animeCharacters	[b'Tanzawa, Fujino', b'Oono, Sakura', b'Tana, Mizuki']
animeVoices	[b'\nSuzaki, Aya\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nYuuki, Kana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasaki, Hiroto\n\nMusic\n\n']
