animeTitle	Idea ga Tsukamaranai.
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15724
animeDescription	"A man is racking himself at a desk. On his desk there is a tiny man also racking himself at his desk.The big man remains still without any idea. The tiny man moves around in vain trying to catch some idea, which is supposed to be inside of him. Both man get cornered searching for idea, become desperate and after the daybreak the big man is struck by an idea...

(Source: Official website)
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
