animeTitle	b'Panpaka Pants'
animeType	b'TV'
animeNumEpisode	27
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A series of shorts about pigs who wear underpants.'
animeRelated	[b'Panpaka Pants Movie: Bananan Oukoku no Hihou', b'Panpaka Pants O-New!', b'Panpaka Pants W-O-New!', b'Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab', b'Panpaka Pants x Lala-chan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
