animeTitle	Jiok
animeType	Movie
animeNumEpisode	1
releaseDate	2006-07-01 00:00:00
endDate	
animeNumMembers	810
animeScore	6.02
animeUsers	130
animeRank	8552
animePopularity	11689
animeDescription	"Jae-young, an ordinary woman in her mid-20s is sentenced to death by an angel, and ascends to Heaven. Going to Heaven means nothing to her because she assumes Heaven is devoid of reason and humanity. But she accepts her fate and proceeds to bid farewell to her mother and friend. During her farewells, the desire for life starts to torture her.

(Source: KoBiz)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
