animeTitle	Saint Seiya: Shinku no Shounen Densetsu
animeType	Movie
animeNumEpisode	1
releaseDate	1988-07-23 00:00:00
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	7983
animeRank	
animePopularity	4608
animeDescription	"Sun God Apollo the brother of Athena is here to take Athena back to heaven and taking over the sanctuary. He revived the deceased gold saints and use them and a few god saints as bodyguards. But Athena did not obey him, Apollo had no choice but send her to hell. On the otherhand, the bronze saints are on their way to save Athena.

(Source: ANN) "
animeRelated	['Saint Seiya']
animeCharacters	['Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya', 'Andromeda, Shun', 'Cygnus, Hyouga', 'Abel, Phoebus', 'Gemini, Saga', 'Aquarius, Camus', 'Libra, Douko', 'Kido, Saori']
animeVoices	['Hori, Hideyuki', 'Suzuoki, Hirotaka', 'Furuya, Toru', 'Horikawa, Ryo', 'Hashimoto, Kouichi', 'Hirokawa, Taichirou', 'Sogabe, Kazuyuki', 'Naya, Rokurou', 'Yada, Kouji', 'Han, Keiko']
animeStaff	[['Yamauchi, Shigeyasu', 'Director'], ['Baroli, Gilberto', 'Script, ADR Director'], ['Suga, Yoshiyuki', 'Script'], ['Yamada, Nobuo', 'Theme Song Composition']]
