animeTitle	Hanitarou Desu.
animeType	TV
animeNumEpisode	70
releaseDate	1997-10-06 00:00:00
endDate	1998-01-22 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16251
animeDescription	Shown daily during the Super J Channel news programme.
animeRelated	[]
animeCharacters	"['Hanitarou', ""Yoshio's Mother"", 'Hirayama, Miki', 'Narrator']"
animeVoices	['Nishimori, Mizue', 'Mayama, Ako', 'Kurata, Masayo', 'Kanemitsu, Nobuaki']
animeStaff	[['Nishizawa, Nobutaka', 'Producer'], ['Kaizawa, Yukio', 'Director'], ['Mochida, Maki', 'Theme Song Performance'], ['Oonishi, Youichi', 'Animation Director']]
