animeTitle	Power Battle Watch Car
animeType	TV
animeNumEpisode	13
releaseDate	2016-04-07 00:00:00
endDate	2016-07-07 00:00:00
animeNumMembers	174
animeScore	
animeUsers	
animeRank	12836
animePopularity	16492
animeDescription	"The series is set in the near future, when an automobile company named JHC Motors is depicted to have created the Watch Cars, which are miniature sentient robotic cars that are supposed to have become good companions to children and adults alike. Watch Cars are depicted to have become a global trend. There is a Battle League where Watch Cars and their trainers battle. Jino, one of the young Watch Car Masters, goes to the Watch Car Battle League with his Watch Car Blue-will, but The Rangers of Darkness an evil force to takeover al the watch cars in The city, Jino and his friends must stop them. 

(Source: Wiki)"
animeRelated	['Power Battle Watch Car Season 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
