animeTitle	Amaenaide yo!!: Yasumanaide yo!!
animeType	Special
animeNumEpisode	1
releaseDate	2005-12-21 00:00:00
endDate	
animeNumMembers	13834
animeScore	6.65
animeUsers	7265
animeRank	5340
animePopularity	4654
animeDescription	Ikko and the girls of Saienji Buddhist Temple are participating in a game show competition and happen to win a trip to a secluded inn. At the inn, Ikko is presented with the challenge of not awakening while all of the girls are sleepwalking.
animeRelated	['Amaenaide yo!!']
animeCharacters	['Nanbu, Chitose', 'Satonaka, Ikkou', 'Sugai, Hinata', 'Amanogawa, Haruka', 'Atouda, Yuuko', 'Ikuina, Sumi', 'Amanogawa, Miyako', 'Sugai, Sakura', 'Kawahara, Joutoku']
animeVoices	['Nakahara, Mai', 'Suzuki, Chihiro', 'Shintani, Ryouko', 'Watanabe, Akeno', 'Higuchi, Chieko', 'Kawakami, Tomoko', 'Mitsuishi, Kotono', 'Nanao, Haruhi', 'Sugiyama, Kazuko']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Ebina, Yasunori', 'Sound Director']]
