animeTitle	Amakano
animeType	OVA
animeNumEpisode	4
releaseDate	2016-02-05 00:00:00
endDate	2017-01-06 00:00:00
animeNumMembers	
animeScore	6.86
animeUsers	4936
animeRank	
animePopularity	4733
animeDescription	"It's only the end of November and the hot springs town Yomase-machi was already a winter wonderland, having been dyed white from the falling snow. Yuuki moved to this snowy town to help his grandparents shovel snow at their home, the former boarding house Yamanouchi-sou. He met many warm-hearted people, including the shrine maiden Sayuki who worries about her inability to properly greet strangers, his mysterious but playful housemate and senpai Mizuki, and the local café's cheerful and energetic kouhai mascot Koharu. Even though he was still feeling lost, he tried to get used to living in this snowy land. During that time, his grandfather suggested that he find love while he is still young and lead a new life in earnest. Now's the time for him to take the first step and fall in love.

(Source: VNDB)"
animeRelated	[]
animeCharacters	['Kanbayashi, Mizuki', 'Takayashiro, Sayuki', 'Hoshikawa, Koharu', 'Yuuki']
animeVoices	['Sakurai, Harumi', 'Inokuchi, Yuka', 'Akino, Hana']
animeStaff	[]
