animeTitle	b'MiniGARO'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A short web-anime created for the ""miniGARO"" project, which imagines characters from the Garo franchise as super-deformed caricatures. Each episode respectively promotes the the Garo Gaiden: Tougen no Fue and Zero: Black Blood films and teaches theater etiquette. The ""MiniGARO Manner Movie"" entry shown with the actual films, continues where these commercials left off.'"
animeRelated	[b'MiniGARO Manner Movie']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
