animeTitle	b'Usavich III'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	2585
animeRank	
animePopularity	
animeDescription	b'The adventures of Putin and Kirenenko continue after they escaped from jail.'
animeRelated	[b'Usavich II', b'Usavich IV']
animeCharacters	[b'Kirenenko', b'Putin', b'Boris', b'Com\xc4\x83neci', b'Leningrad', b'Zrzolov', b'Koptsev', b'Mechanenko']
animeVoices	[b'\nUeno, Hironori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTomioka, Satoshi\n\nDirector, Script, Storyboard, Screenplay, Original Creator\n\n', b'\nBach, Johann Sebastian\n\nMusic\n\n', b'\nUeno, Hironori\n\nSound Effects, Music\n\n']
