animeTitle	Wan Jie Shen Zhu
animeType	ONA
animeNumEpisode	60
releaseDate	2019-02-06 00:00:00
endDate	2019-08-31 00:00:00
animeNumMembers	
animeScore	6.94
animeUsers	505
animeRank	
animePopularity	9680
animeDescription	Ye Chen, an ancient god, who fell from the world of the gods into a heavenly and peaceful world. In this world there are hundreds of countries, surrounded by thousands of states, who are strong and arrogant. Ye Chen has been in this world for hundreds of years and has established great strength, moreover his existence has always been a legend. But the power of the gods' world extends slowly into this world, beginning one of the most cruel and ferocious battles.
animeRelated	['Wan Jie Shen Zhu 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
