animeTitle	Lemon Angel Project
animeType	TV
animeNumEpisode	13
releaseDate	2006-01-06 00:00:00
endDate	2006-03-31 00:00:00
animeNumMembers	7722
animeScore	6.57
animeUsers	2515
animeRank	5778
animePopularity	5880
animeDescription	"Lemon Angel was once the greatest girl band of Japan, but then it broke up and most of its members vanished. When a music producer decides to put together a new Lemon Angel, average high schooler Tomo Minaguchi is approached to audition for the group. Little does she know of the mystery behind the original Lemon Angel...

(Source: ANN)
"
animeRelated	[]
animeCharacters	['Campbell, Erika', 'Minaguchi, Tomo', 'Nagisa, Miru', 'Suwa, Miki', 'Yuuki, Saya', 'Sakakibara, Fuyumi', 'Katagiri, Hitoshi', 'Yamaguchi, Danny', 'Moroi, Takeshi', 'Kousaka, Katsuya']
animeVoices	['Chihara, Minori', 'Shihono, Ryou', 'Kadowaki, Mai', 'Maruyama, Miki', 'Koshimizu, Ami', 'Hirama, Juri', 'Kawada, Shinji', 'Yamaguchi, Ken', 'Tsuruoka, Satoshi', 'Oohata, Shintarou']
animeStaff	[['Kikuchi, Kouichi', 'Sound Director'], ['Ozeki, Masayuki', 'Episode Director'], ['Ooseki, Masayuki', 'Episode Director'], ['Hayashi, Naotaka', 'Script']]
