animeTitle	Dead Heat
animeType	OVA
animeNumEpisode	1
releaseDate	1987-08-07 00:00:00
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	515
animeRank	
animePopularity	10789
animeDescription	"Failed driver Makoto is ready to quit the business until he is approached by Hayami Go, who offers him a hyper-engine to change his fortunes. Claiming to be ""Japan's first 3D anime,"" this curio using the VHD-3D system features 21st-century youngsters racing ""FX"" machines - predictable crosses between motorcycles and mechas.

(Source: Anime Encyclopedia)"
animeRelated	[]
animeCharacters	['Makoto', 'Yoshio', 'Kourigashi', 'Saburou', 'Maria', 'Gou', 'Kaori', 'Sawai, Natsuo']
animeVoices	['Yao, Kazuki', 'Sakurai, Toshiharu', 'Ogata, Kenichi', 'Ootsuka, Houchuu', 'Katsuki, Masako', 'Oobayashi, Ryuusuke', 'Honda, Chieko', 'Sogabe, Kazuyuki']
animeStaff	[['Kawase, Toshifumi', 'Director'], ['Chiba, Kouichi', 'Sound Director'], ['Ikeda, Shigemi', 'Art Director'], ['Gotou, Masami', 'In-Between Animation']]
