animeTitle	Sensou no Tsukurikata
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	305
animeRank	
animePopularity	12394
animeDescription	Short anti-war animation adapting the picture book Sensou no Tsukurikata. It was created by the group NOddIN.
animeRelated	[]
animeCharacters	['Narrator']
animeVoices	['Matsumoto, Marika']
animeStaff	[['Kabuki, Sawako', 'Animation Director'], ['Satou, Miyo', 'Animation Director'], ['Q-rais', 'Animation Director'], ['YKBX', 'Animation Director']]
