animeTitle	b'Dazzling White Town'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	509
animeRank	
animePopularity	
animeDescription	b'Music video included with the first single for the Love Live! Sunshine!! anime idol group Saint Snow.'
animeRelated	[b'Mitaiken Horizon']
animeCharacters	[b'Kazuno, Leah', b'Kazuno, Sarah']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSakai, Kazuo\n\nDirector, Episode Director, Storyboard\n\n', b'\nMurota, Yuuhei\n\nChief Animation Director\n\n']
