animeTitle	Urusei Yatsura 2: Beautiful Dreamer
animeType	Movie
animeNumEpisode	1
releaseDate	1984-02-11 00:00:00
endDate	
animeNumMembers	
animeScore	7.83
animeUsers	6491
animeRank	
animePopularity	4569
animeDescription	"Not all is normal in Tomobiki, even by its standards. The students have been preparing feverishly for the first day of the student fair, which is scheduled to go on the next day. However, problems arise when some begin to notice that the next day simply will not come. As the students begin to try to find the reason for the problem, their beliefs about reality and the world of dreams are challenged.

(Source: ANN)"
animeRelated	['Urusei Yatsura']
animeCharacters	['Lum', 'Moroboshi, Ataru', 'Mendo, Shutaro', 'Mujaki', 'Fujinami, Ryuunosuke', 'Sakuranbou', 'Miyake, Shinobu', 'Satoshi', 'Sakura', 'Ten']
animeVoices	['Hirano, Fumi', 'Furukawa, Toshio', 'Kamiya, Akira', 'Fujioka, Takuya', 'Tanaka, Mayumi', 'Nagai, Ichiro', 'Shimazu, Saeko', 'Chiba, Shigeru', 'Washio, Machiko', 'Sugiyama, Kazuko']
animeStaff	[['Oshii, Mamoru', 'Director'], ['Matsutani, Yuuko', 'Theme Song Performance'], ['Takahashi, Rumiko', 'Original Creator'], ['Kobayashi, Shichiro', 'Art Director']]
