animeTitle	Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season
animeType	ONA
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	1101
animeRank	
animePopularity	8219
animeDescription	Bonus segments of Cinderella Girls Gekijou 3rd Season streamed on The iDOLM@STER Cinderella Girls Mobage following the television broadcast. 
animeRelated	['Cinderella Girls Gekijou', 'Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season', 'Cinderella Girls Gekijou 3rd Season', 'Cinderella Girls Gekijou: Kayou Cinderella Theater 4th Season']
animeCharacters	['Shibuya, Rin', 'Kanzaki, Ranko', 'Shimamura, Uzuki', 'Shirasaka, Koume', 'Jougasaki, Mika', 'Honda, Mio', 'Ichihara, Nina', 'Wakiyama, Tamami', 'Jougasaki, Rika', 'Nitta, Minami']
animeVoices	['Yoshimura, Haruka', 'Yamamoto, Nozomi']
animeStaff	[['Furuya, Yuuji', 'Sound Effects'], ['Kumajet', 'Original Creator']]
