animeTitle	b'Hidamari Sketch'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.45
animeUsers	22560
animeRank	
animePopularity	
animeDescription	"b""Ever since she was young, Yuno has always had an interest in art. Now that she has been accepted to Yamabuki Arts High School, it means one thing\xe2\x80\x94moving out. Living in a dorm at Hidamari Apartments alone, Yuno meets her neighbors: the hyperactive Miyako, the self-conscious Hiro, and the mature Sae. Despite their different personalities, they go to the same school, spend time together, and develop a strong friendship. Yuno's life won't be so lonely after all!\n\nHidamari Sketch revolves around the antics and day-to-day lives of the girls living at Hidamari Apartments.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Hidamari Sketch', b'Hidamari Sketch Specials', b'Hidamari Sketch: Chou Hidamatsuri Special', b'Hidamari Sketch Recap']
animeCharacters	[b'Miyako', b'Yuno', b'Sae', b'Hiro', b'Yoshinoya', b'Natsume', b'The Principal', b'Ume', b'Oyasan', b'Chika']
animeVoices	[b'\nMizuhashi, Kaori\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nGotou, Yuuko\nJapanese\n', b'\nMatsuki, Miyu\nJapanese\n', b'\nFukuen, Misato\nJapanese\n', b'\nCho\nJapanese\n', b'\nAoki, Ume\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwakami, Atsuhiro\n\nProducer\n\n', b'\nOoshima, Miku\n\nAssistant Producer\n\n', b'\nShinbou, Akiyuki\n\nDirector, Storyboard, Animation Check\n\n', b'\nKamitsubo, Ryouki\n\nDirector, Episode Director, Storyboard\n\n']
