animeTitle	World Trigger 3rd Season
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	8.12
animeUsers	3276
animeRank	
animePopularity	2591
animeDescription	"Third season of World Trigger.

"
animeRelated	['World Trigger', 'World Trigger 2nd Season']
animeCharacters	['Kuga, Yuuma', 'Jin, Yuuichi', 'Mikumo, Osamu', 'Hyuse', 'Amatori, Chika', 'Ikoma, Tatsuhito', 'Kageura, Masato', 'Murakami, Kou', 'Azuma, Haruaki', 'Ninomiya, Masataka']
animeVoices	['Muranaka, Tomo', 'Nakamura, Yuuichi', 'Kaji, Yuki', 'Shimazaki, Nobunaga', 'Tamura, Nao', 'Sugita, Tomokazu', 'Nojima, Hirofumi']
animeStaff	[['Hatano, Morio', 'Director'], ['Kami wa Saikoro wo Furanai', 'Theme Song Performance'], ['Kawai, Kenji', 'Music'], ['Ashihara, Daisuke', 'Original Creator']]
