animeTitle	Mirai Nikki (TV): Ura Mirai Nikki
animeType	Special
animeNumEpisode	10
releaseDate	2012-01-27 00:00:00
endDate	2012-08-31 00:00:00
animeNumMembers	
animeScore	6.5
animeUsers	26450
animeRank	
animePopularity	2401
animeDescription	"Unaired ""Ura Mirai Nikki"" anime (the short episodes of Mur Mur inserted at the end of the main episodes) included in the Mirai Nikki Blu-rays."
animeRelated	['Mirai Nikki (TV)']
animeCharacters	['Mur Mur', 'Gasai, Yuno', 'Akise, Aru', 'Amano, Yukiteru', 'Deus Ex Machina', 'Ikusaba, Marco', 'Mikami, Ai', 'Miyashiro, Orin', 'Ueshita, Kamado', 'Bacchus, John']
animeVoices	['Honda, Manami', 'Murata, Tomosa', 'Togashi, Misuzu', 'Wakamoto, Norio', 'Seki, Tomokazu', 'Kuwatani, Natsuko', 'Kozakura, Etsuko', 'Konno, Hiromi', 'Hashi, Takaya']
animeStaff	[['Katou, Tatsuya', 'Music'], ['Esuno, Sakae', 'Original Creator']]
