animeTitle	Mangirl!: Asobu Henshuu Girl
animeType	Special
animeNumEpisode	1
releaseDate	2013-05-24 00:00:00
endDate	
animeNumMembers	6430
animeScore	5.91
animeUsers	3547
animeRank	9015
animePopularity	6327
animeDescription	Unaired 14th Episode of Mangirl! that was released with the BD/DVD.
animeRelated	['Mangirl!']
animeCharacters	['Torii, Aki', 'Sasayama, Hana', 'Nishijima, Ringo', 'Haraki, Tsugumi', 'Fujimori, Shinobu', 'Haraki, Hiyoko', 'Haraki, Suzume', 'Ayano, Hikari', 'Misono, Sayuri', 'Haraki, Tsubame']
animeVoices	['Komagata, Yuri', 'Miyamoto, Kanako', 'Ohashi, Ayaka', 'Otaka, Moemi', 'Kayano, Ai', 'Hidaka, Rina', 'Ishihara, Kaori', 'Kitamura, Eri', 'Taketatsu, Ayana']
animeStaff	[['Ohashi, Ayaka', 'Theme Song Performance'], ['Komagata, Yuri', 'Theme Song Performance'], ['Miyamoto, Kanako', 'Theme Song Performance'], ['Otaka, Moemi', 'Theme Song Performance']]
