animeTitle	Gekka Bijin
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	955
animeRank	
animePopularity	8519
animeDescription	"The mistress of a boarding house entertains her new tenant in exciting fashion. Full of naughty games, submission and outrageous sex scenes.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Itou, Seiichi', 'Itou, Kiriko', 'Souun, Chinen']
animeVoices	['Wakamoto, Norio']
animeStaff	[['Okesawa, Hisashi', 'Director'], ['Mizuno, Kazunori', 'Director'], ['Nozaki, Hiroki', 'Sound Effects'], ['Yoshiki, Masayuki', 'Key Animation']]
