animeTitle	b'Astroganger'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	410
animeRank	
animePopularity	
animeDescription	b'An alien woman named Maya crash-lands on Earth. Her homeworld was destroyed by the Blasters, a cruel alien race who steals the natural resources from other planets. She falls in love with a scientist and gives birth to a human boy named Kentaro. When the Blasters invade the Earth, Kentaro must defeat them by fighting with Astroganger, a robot made from living metal.\n\n(Source: Wikipedia)'
animeRelated	[]
animeCharacters	[b'Hoshi, Kentarou', b'Ganger', b'Hayakawa, Rie', b'Deputy Director Hayakawa', b'Dr. Hoshi']
animeVoices	[b'\nSawada, Kazuko\nJapanese\n', b'\nIizuka, Shouzou\nJapanese\n', b'\nSuzuki, Hiroko\nJapanese\n', b'\nOomiya, Teiji\nJapanese\n', b'\nKatsuta, Hisashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamada, Etsuji\n\nSound Director\n\n', b'\nAndou, Toyohiro\n\nScript\n\n', b'\nMizuki, Ichirou\n\nTheme Song Performance\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n']
