animeTitle	b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho: Two Shots/Noru ka Soru ka'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.42
animeUsers	6200
animeRank	
animePopularity	
animeDescription	"b'Special included in the 25th anniversary Blu-ray box set.\n\nThe special will cover the ""Two Shot"" bonus chapter from the manga\'s seventh volume, which tells the story of how Kurama and Hiei met, as well as the manga\'s penultimate chapter ""All or Nothing."" which shows the main characters reuniting to solve a hostage crisis in the spirit world.\n\n(Source: ANN)'"
animeRelated	[b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho']
animeCharacters	[b'Urameshi, Yuusuke', b'Hiei', b'Kurama', b'Kuwabara, Kazuma', b'Botan', b'Koenma', b'Yukimura, Keiko', b'Kuwabara, Shizuru', b'Yukina', b'Puu']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAbe, Noriyuki\n\nDirector, Storyboard\n\n', b'\nMawatari, Matsuko\n\nTheme Song Performance, Theme Song Composition, Theme Song Arrangement\n\n', b'\nTogashi, Yoshihiro\n\nOriginal Creator\n\n']
