animeTitle	b'Strike the Blood III'
animeType	b'OVA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	33469
animeRank	
animePopularity	
animeDescription	b'It was announced at a Dengeki Game Festival stage event that the Strike the Blood light novel series will get a third OVA release. It will cover until the end of Seisen-hen.\n\n(Source: MAL news)'
animeRelated	[b'Strike the Blood', b'Strike the Blood II', b'Strike the Blood IV', b'Strike the Blood: Kieta Seisou-hen']
animeCharacters	[b'Himeragi, Yukina', b'Akatsuki, Kojou', b'Aiba, Asagi', b'Rihavein, La Folia', b'Kirasaka, Sayaka', b'Minamiya, Natsuki', b'Kanase, Kanon', b'Astarte', b'Yaze, Motoki', b'Akatsuki, Nagisa']
animeVoices	[b'\nTaneda, Risa\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nSeto, Asami\nJapanese\n', b'\nHayama, Ikumi\nJapanese\n', b'\nKanemoto, Hisako\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n', b'\nOosaka, Ryouta\nJapanese\n', b'\nHidaka, Rina\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Hideyo\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nOonuma, Shin\n\nEpisode Director, Storyboard\n\n', b'\nYoshino, Hiroyuki\n\nScript, Series Composition\n\n']
