animeTitle	Bamboo Bears
animeType	TV
animeNumEpisode	52
releaseDate	1997-04-04 00:00:00
endDate	1998-03-27 00:00:00
animeNumMembers	675
animeScore	5.97
animeUsers	204
animeRank	8777
animePopularity	12142
animeDescription	Bamboo-Lee, Dah-Lee, and Slo-Lee are three bears with a goal: to save the world before more species become extinct. But can the bears stand up to the spineless villains behind Ratco Corporation? With Ai-Ai the pink dragon on their side, they may be able to rescue the environment before it's too late.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
