animeTitle	School Rumble San Gakki
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	32728
animeRank	
animePopularity	2307
animeDescription	A short 2 episodes attempt to conclude the series. Karasuma goes to America after the end of the third term. Will Harima finally confess? What will happen with Tenma and Karasuma?
animeRelated	['School Rumble', 'School Rumble Ni Gakki']
animeCharacters	['Harima, Kenji', 'Sawachika, Eri', 'Tsukamoto, Yakumo', 'Tsukamoto, Tenma', 'Takano, Akira', 'Suou, Mikoto', 'Karasuma, Ouji', 'Imadori, Kyousuke', 'Hanai, Haruki', 'Ichijou, Karen']
animeVoices	['Takahashi, Hiroki', 'Horie, Yui', 'Noto, Mamiko', 'Koshimizu, Ami', 'Shimizu, Kaori', 'Nabatame, Hitomi', 'Konishi, Ryousei', 'Kishio, Daisuke', 'Kawada, Shinji', 'Mako']
animeStaff	[['Cook, Justin', 'Producer'], ['Takamatsu, Shinji', 'Director'], ['Ookubo, Masao', 'Episode Director, Storyboard, Key Animation'], ['Horie, Yui', 'Theme Song Performance']]
