animeTitle	Konohakaseki no Natsu
animeType	Movie
animeNumEpisode	1
releaseDate	2014-01-16 00:00:00
endDate	
animeNumMembers	297
animeScore	6.24
animeUsers	127
animeRank	7480
animePopularity	14694
animeDescription	"One summer day, Rintarou accidentally breaks a Japanese maple leaf fossil treasured by his father. Feeling guilty, he cannot bring himself to tell his father. While at the riverbank looking for fossils, Rintarou meets a boy named Toshi, and their days of adventure begins.

The film was made by Touko Yatabe for her graduate project at Musashino Art University."
animeRelated	[]
animeCharacters	"['Rintarou', ""Rintarou's Mother"", ""Rintarou's Father"", 'Toshi']"
animeVoices	[]
animeStaff	[['Yatabe, Touko', 'Director']]
