animeTitle	Cinderella Girls Gekijou
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	4830
animeRank	
animePopularity	4395
animeDescription	"Our idol friends are back again today! Get a rare look at how idols spend their days off, as well as their comical interactions with each other in this hyper-fun-filled short anime.

(Source: Crunchyroll)"
animeRelated	['Cinderella Girls Gekijou', 'The iDOLM@STER Cinderella Girls', 'Cinderella Girls Gekijou: 5 Shuunen Kinen Short Anime', 'Cinderella Girls Gekijou: Kayou Cinderella Theater', 'Cinderella Girls Gekijou Specials', 'Cinderella Girls Gekijou 2nd Season']
animeCharacters	['Shibuya, Rin', 'Kanzaki, Ranko', 'Futaba, Anzu', 'Anastasia', 'Shimamura, Uzuki', 'Jougasaki, Mika', 'Honda, Mio', 'Takagaki, Kaede', 'Koshimizu, Sachiko', 'Moroboshi, Kirari']
animeVoices	['Fukuhara, Ayaka', 'Uchida, Maaya', 'Igarashi, Hiromi', 'Uesaka, Sumire', 'Ohashi, Ayaka', 'Yoshimura, Haruka', 'Hara, Sayuri', 'Hayami, Saori', 'Taketatsu, Ayana', 'Matsuzaki, Rei']
animeStaff	[['Mankyuu', 'Director, Storyboard, Series Composition'], ['Tsukimisato, Tomohiro', 'Episode Director, Animation Director'], ['Uchida, Maaya', 'Theme Song Performance'], ['Hanamori, Yumiri', 'Theme Song Performance']]
