animeTitle	Uchuu Senkan Yamato 2
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.43
animeUsers	2380
animeRank	
animePopularity	6067
animeDescription	"A year has passed since the Star Force returned to save the Earth but another danger now approaches from deep space. A gigantic White Comet hurtles toward our galaxy, obliterating everything in its path. But it is no ordinary comet—it is the deadly Comet Empire, conqueror of worlds... and Earth is the next target! Against orders, the Star Force blasts off to investigate, but even if they can get past the flagship Andromeda, they don't yet know the true nature of their new enemy!

(Source: AniDB)"
animeRelated	"['Uchuu Senkan Yamato', 'Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi', 'Uchuu Senkan Yamato 2202: Ai no Senshi-tachi', '""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku', 'Uchuu Senkan Yamato: Aratanaru Tabidachi']"
animeCharacters	['Kodai, Susumu', 'Desler, Aberdt', 'Mori, Yuki', 'Sanada, Shirou', 'Shima, Daisuke', 'Analyzer', 'Sado, Sakezou', 'Teresa', 'Zordar', 'Hijikata, Ryuu']
animeVoices	['Tomiyama, Kei', 'Ibu, Masatou', 'Ichiryuusai, Harumi', 'Aono, Takeshi', 'Nakamura, Shuusei', 'Ogata, Kenichi', 'Nagai, Ichiro', 'Okamoto, Mari', 'Kimura, Akira']
animeStaff	[['Matsumoto, Leiji', 'Director, Original Creator'], ['Fujikawa, Keisuke', 'Script, Screenplay'], ['Yasuhiko, Yoshikazu', 'Storyboard'], ['Okuda, Seiji', 'Storyboard']]
