animeTitle	Eien no Filena
animeType	OVA
animeNumEpisode	6
releaseDate	1992-12-21 00:00:00
endDate	1993-02-25 00:00:00
animeNumMembers	1086
animeScore	5.69
animeUsers	269
animeRank	9782
animePopularity	10925
animeDescription	The story is centered around Filena, a princess who was raised as a boy after her kingdom was conquered.
animeRelated	[]
animeCharacters	['Lila', 'Filena', 'Zena', 'Elthena', 'Sara', 'Baraba', 'Nest']
animeVoices	['Mizutani, Yuuko', 'Andou, Arisa', 'Yara, Yuusaku', 'Amano, Yuri', 'Orikasa, Ai', 'Hori, Hideyuki', 'Horiuchi, Kenyuu']
animeStaff	[['Nitta, Yoshikata', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Shinbou, Akiyuki', 'Animation Director'], ['Takada, Akemi', 'Original Character Design']]
