animeTitle	Lupin tai Holmes
animeType	Special
animeNumEpisode	1
releaseDate	1981-05-05 00:00:00
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	145
animeRank	
animePopularity	11712
animeDescription	"Based on a story by Maurice Leblanc. 

"
animeRelated	['Kaitou Lupin: 813 no Nazo']
animeCharacters	['Holmes, Sherlock']
animeVoices	['Yamashiro, Shingo']
animeStaff	[['Leblanc, Maurice', 'Original Creator'], ['Kishi, Yoshiyuki', 'Animation Director, Character Design'], ['Tamaki, Hiroki', 'Music']]
