animeTitle	b'Bakuman.: Deraman.'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	4255
animeRank	
animePopularity	
animeDescription	"b'First Episode: Summary of the previous two seasons of Bakuman\n\nSecond Episode: Shows many of the mangakas\' works. Main cast members also talk about which ""Bakuman."" works they would like to see animated'"
animeRelated	[b'Bakuman.', b'Bakuman. 2nd Season', b'Bakuman. 3rd Season']
animeCharacters	[b'Mashiro, Moritaka', b'Takagi, Akito', b'Niizuma, Eiji', b'Hiramaru, Kazuya', b'Fukuda, Shinta', b'Yoshida, Kouji', b'Aoki, Yuriko']
animeVoices	[b'\nAbe, Atsushi\nJapanese\n', b'\nHino, Satoshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nObata, Takeshi\n\nOriginal Character Design\n\n', b'\nOhba, Tsugumi\n\nOriginal Creator\n\n', b'\nKita, Shuhei\n\nInserted Song Performance\n\n', b'\nShitaya, Tomoyuki\n\nCharacter Design\n\n']
