animeTitle	b'Macross \xce\x94'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	21486
animeRank	
animePopularity	
animeDescription	"b""Eight years after the events of Macross F, a mysterious phenomenon known as the Var Syndrome is gradually consuming the galaxy. It's up to a new generation of highly capable Valkyrie pilots to deal with this universal menace. And if they didn't have enough on their plate already, the Aerial Knights Valkyrie fighter team from the Kingdom of Wind have come to challenge the Delta Squadron."""
animeRelated	[b'Macross \xce\x94', b'Macross \xce\x94 Gaiden: Macross E', b'Macross \xce\x94: Ginga wo Michibiku Utahime', b'Macross \xce\x94: Kuroki Tsubasa no Shiro Kishi', b'Macross F', b'Macross \xce\x94: Delta Shougekijou', b'Macross (Shin Series)', b'Macross \xce\x94 Movie: Gekijou no Walk\xc3\xbcre', b'Macross \xce\x94 Movie 2: Zettai Live!!!']
animeCharacters	[b'Wion, Freyja', b'Guynemer, Mikumo', b'Jenius, Mirage Farina', b'Immelmann, Hayate', b'Buccaneer, Kaname', b'Nakajima, Makina', b'Prowler, Reina', b'Windermere, Keith Aero', b'Ihlefeld, Messer', b'Con-Vaart, Bogue']
animeVoices	[b'\nSuzuki, Minori\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nSeto, Asami\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nYasuno, Kiyono\nJapanese\n', b'\nNishida, Nozomi\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nKimura, Ryouhei\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nKENN\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawamori, Shouji\n\nDirector, Original Creator\n\n', b'\nYasuda, Kenji\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nNakayama, Ryuu\n\nEpisode Director, Storyboard, Key Animation\n\n']
