animeTitle	Jigazou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.75
animeUsers	1218
animeRank	
animePopularity	9325
animeDescription	"This extremely brief film was Osamu Tezuka's answer to a challenge presented to the leaders of the international animation community to create animated self-portraits. 

(Source: ANN)
"
animeRelated	[]
animeCharacters	['Tezuka, Osamu']
animeVoices	[]
animeStaff	[['Tezuka, Osamu', 'Director']]
