animeTitle	b'Pupa'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	3.34
animeUsers	85666
animeRank	
animePopularity	
animeDescription	"b""Abandoned by their abusive parents and with only each other to depend on, siblings Utsutsu and Yume Hasegawa find themselves led astray by beautiful red butterflies that have appeared in their world. Unbeknownst to them, these crimson winged heralds trumpet the beginning of a cannibalistic nightmare\xe2\x80\x94a mysterious virus known as Pupa is about to hatch.\n\nAfter succumbing to the full effects of Pupa, Yume undergoes a grotesque metamorphosis into a monstrous creature with an insatiable desire for flesh; Utsutsu, on the other hand, is only partially affected, gaining remarkable regenerative powers instead. Reaffirming the resolve to keep the promise he made to himself years ago, Utsutsu is willing to sacrifice everything in order to always be there for his precious little sister.\n\nPupa tells the story of a loving brother's desperate struggles to save his sister while protecting the world from her uncontrollable hunger.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Pupa']
animeCharacters	[b'Hasegawa, Yume', b'Hasegawa, Utsutsu', b'Yamamoto', b'Imari, Ai', b'Arita, Sisters', b'Mitsui', b'Arita, Yuuhei', b'Hasegawa, Sachiko', b'Onijima, Shirou', b'Hotoki']
animeVoices	[b'\nKido, Ibuki\nJapanese\n', b'\nIse, Mariya\nJapanese\n', b'\nNarumi, Kyoko\nJapanese\n', b'\nKurosawa, Yurika\nJapanese\n', b'\nMaeda, Kunihiro\nJapanese\n', b'\nMikami, Shiori\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMochizuki, Tomomi\n\nDirector\n\n', b'\nKido, Ibuki\n\nTheme Song Performance\n\n', b'\nYamazaki, Erii\n\nTheme Song Performance\n\n', b'\nMOKA\xe2\x98\x86\n\nTheme Song Composition, Theme Song Lyrics, Theme Song Arrangement, Music\n\n']
