animeTitle	b'Mini Dragon'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	24104
animeRank	
animePopularity	
animeDescription	b'Commemoration mini-anime series released on Kyoani YouTube Channel ahead of Kobayashi-san Chi no Maid Dragon S.'
animeRelated	[b'Kobayashi-san Chi no Maid Dragon S', b'Mini Dragon Specials']
animeCharacters	[b'Kamui, Kanna', b'Tooru', b'Kobayashi', b'Quetzalcoatl', b'Elma', b'Fafnir', b'Takiya, Makoto']
animeVoices	[]
animeStaff	[]
