animeTitle	Ikusa Otome Suvia
animeType	OVA
animeNumEpisode	4
releaseDate	2007-12-22 00:00:00
endDate	2009-08-28 00:00:00
animeNumMembers	5381
animeScore	6.48
animeUsers	1895
animeRank	
animePopularity	6796
animeDescription	"The King of Hell had held Odin, the ruler of Norse gods, captured in the Land of the Dead with the help of Loki, the Trickster. The Valkyries failed to save him and ended up becoming sex slaves to the demons. 

As a trade to free himself, Odin had the river source to the World Tree sealed, which will destroy the whole world. But before that, Loki had Freya, Chief of Valkyries, captured to counter Odin's plot. 

In order to prevent the World Tree to fall, Loki have to find 2 keys which are protected by 2 invincible Valkyries—Sigurd & Suvia. And Loki turned his lustful attention on Suvia who was a Princess of Prishintia.

(Source: ANN)"
animeRelated	['Ikusa Otome Suvia Special']
animeCharacters	['Suvia', 'Sigurd']
animeVoices	['Hitomi']
animeStaff	[['Yoshida, Tomohiro', 'Sound Director'], ['Lilith Soft', 'Original Creator'], ['Hifumi', 'Art Director'], ['Ushijima, Yuji', 'Director of Photography, Animation Director, Character Design']]
