animeTitle	Elsword: El-ui Yeoin
animeType	ONA
animeNumEpisode	12
releaseDate	2016-12-10 00:00:00
endDate	2018-01-05 00:00:00
animeNumMembers	21991
animeScore	6.0
animeUsers	3788
animeRank	8623
animePopularity	3837
animeDescription	Nexon recently announced an anime called Elsword: El Lady and will be done by DR Movie and written by NZ. Nothing else has been announced.
animeRelated	['Elsword: Ain-ui Gieog Animation']
animeCharacters	['Grenore, Edward', 'Elesis', 'Aisha, Landar', 'Haan, Ara', 'Eve', 'Elsword', 'Cronwell, Raven', 'Erindel, Rena', 'Sourcream, Luciela R.', 'Seiker, Prince']
animeVoices	[]
animeStaff	[]
