animeTitle	Urayasu Tekkin Kazoku
animeType	TV
animeNumEpisode	33
releaseDate	1998-06-30 00:00:00
endDate	1998-08-25 00:00:00
animeNumMembers	
animeScore	6.97
animeUsers	482
animeRank	
animePopularity	9739
animeDescription	"Join the madcap adventures of the Osawagi family. Little Kotetsu, arguably the most energetic boy in the town of Urayasu, is always getting into mischief with his band of quirky friends. Features unique, well-drawn characters and fast-paced action and humor.

(Source: TBS)"
animeRelated	['Urayasu Tekkin Kazoku', 'Maido! Urayasu Tekkin Kazoku']
animeCharacters	['Oosawagi, Junko', 'Oosawagi, Daitetsu', 'Oosawagi, Kotetsu', 'Kikuchi, Akane', 'Oosawagi, Sakura']
animeVoices	['Amano, Yuri', 'Matsuyama, Takashi', 'Iwatsubo, Rie', 'Konishi, Hiroko', 'Okamura, Akemi']
animeStaff	[['Daichi, Akitarou', 'Director, Storyboard, Chief Animation Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Murata, Masahiko', 'Episode Director'], ['Yoshida, Shunji', 'Episode Director']]
