animeTitle	Genji Monogatari Sennenki
animeType	TV
animeNumEpisode	11
releaseDate	2009-01-16 00:00:00
endDate	2009-03-27 00:00:00
animeNumMembers	13096
animeScore	6.9
animeUsers	2924
animeRank	4181
animePopularity	4743
animeDescription	"Born from a much loved, but lowly ranked concubine, Genji Hikaru is called the Shining Prince and is the beloved second son of the Emperor. Although he cannot be an heir to the throne of his father, Genji spends his life surrounded by every pleasure and love. And yet, his one longing in love is something that even the power of an Emperor can never give him.

(Source: ANN)"
animeRelated	['Genji Monogatari']
animeCharacters	['Genji, Hikaru', 'Fujitsubo no Miya', 'Kiritsubo, Koui', 'Murasaki', 'Kokiden no Nyougo', 'To no Chujo', 'Aoi no Ue', 'Koremitsu', 'Oborozukiyo', 'Kiritsubo, Mikado']
animeVoices	['Sakurai, Takahiro', 'Tamagawa, Sakiko', 'Endou, Aya', 'Fujita, Toshiko', 'Sugita, Tomokazu', 'Hirata, Eriko', 'Suzuki, Chihiro', 'Horiuchi, Kenyuu']
animeStaff	[['Yamamoto, Kouji', 'Producer'], ['Dezaki, Osamu', 'Director, Script, Storyboard'], ['Konparu, Tomoko', 'Script'], ['Shiina, Ringo', 'Theme Song Composition, Theme Song Arrangement, Theme Song Lyrics']]
