animeTitle	Mokkai Shiyo?
animeType	OVA
animeNumEpisode	1
releaseDate	2014-07-04 00:00:00
endDate	
animeNumMembers	5662
animeScore	6.38
animeUsers	2260
animeRank	
animePopularity	6684
animeDescription	Based on the adult manga by Yokoyari Mengo.
animeRelated	['Mokkai Shiyo?']
animeCharacters	['Mei', 'Senpai']
animeVoices	['Hayase, Yayoi']
animeStaff	[['Oota, Hideta', 'Director'], ['Yokoyari, Mengo', 'Original Creator'], ['Mikiwo, Fujiwara', 'Animation Director, Character Design']]
