animeTitle	Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode
animeType	Special
animeNumEpisode	1
releaseDate	2014-06-07 00:00:00
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	2092
animeRank	
animePopularity	6964
animeDescription	Extra episode in the 7th Blu-ray and DVD volumes.
animeRelated	['Tamayura: More Aggressive']
animeCharacters	['Sawatari, Fuu', 'Sakurada, Maon', 'Hanawa, Kaoru', 'Mitani, Kanae', 'Okazaki, Norie', 'Momoneko', 'Hanawa, Sayomi', 'Miyoshi, Chihiro', 'Sawatari, Kou', 'Sakurada, Mother']
animeVoices	['Taketatsu, Ayana', 'Gibu, Yuko', 'Asumi, Kana', 'Kayano, Ai', 'Iguchi, Yuka', 'Fukui, Yukari', 'Ohara, Sayaka', 'Kotobuki, Minako', 'Miyamoto, Kanako', 'Hirano, Fumi']
animeStaff	[['Sakamoto, Maaya', 'Theme Song Performance'], ['Nakajima, Megumi', 'Theme Song Performance, Inserted Song Performance'], ['Kawahara, Kumiko', 'Key Animation'], ['Fujii, Fumino', 'Key Animation']]
