animeTitle	Eightman
animeType	TV
animeNumEpisode	56
releaseDate	1963-11-07 00:00:00
endDate	1964-12-24 00:00:00
animeNumMembers	
animeScore	5.88
animeUsers	290
animeRank	
animePopularity	10209
animeDescription	"A private investigator working a routine case involving stolen technology is mortally wounded. His only hope for survival comes from sacrificing his humanity to become 8Man—a powerful cyborg crime-fighter enhanced with a living human brain. Resurrected as the ultimate high-tech vigilante, it is up to 8Man to bring the lawless to justice and put an end to the escalating cycle of violence. A classic animated thriller that will leave you breathless.

(Source: AnimeNfo)"
animeRelated	['8 Man', 'Eightman After']
animeCharacters	['Azuma, Hachirou', 'Seki, Sachiko']
animeVoices	['Takayama, Sakae', 'Ueda, Miyuki']
animeStaff	[['Tsuji, Masaki', 'Script'], ['Toyota, Aritsune', 'Script'], ['Kuwata, Jirou', 'Character Design']]
