animeTitle	Saki Biyori Animation
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	1167
animeRank	
animePopularity	8120
animeDescription	"A single episode OVA released with the 14th volume of the Saki manga, consisting of 4-koma gags featuring characters from the first season. The two pros meet up at a family restaurant. The captains of the four teams prepare for a joint training camp. Ikeda keeps her little sisters occupied. The Tsuruga team goes on an unplanned camping trip. Ryuumonbuchi celebrate Koromo's birthday.

(Source: ANN)"
animeRelated	['Saki-biyori', 'Saki']
animeCharacters	['Miyanaga, Saki', 'Takei, Hisa', 'Amae, Koromo', 'Haramura, Nodoka', 'Fukuji, Mihoko', 'Kataoka, Yuuki', 'Touyoko, Momoko', 'Kanbara, Satomi', 'Kunihiro, Hajime', 'Ryuumonbuchi, Touka']
animeVoices	['Ueda, Kana', 'Itou, Shizuka', 'Fukuhara, Kaori', 'Koshimizu, Ami', 'Horie, Yui', 'Kugimiya, Rie', 'Saitou, Momoko', 'Kuwatani, Natsuko', 'Shimizu, Ai', 'Chihara, Minori']
animeStaff	[['Ono, Manabu', 'Director'], ['Setou, Kenji', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Chihara, Minori', 'Theme Song Performance']]
