animeTitle	Micchiri Wanko! Animation
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12335
animeDescription	Spin-off of Micchiri Neko.
animeRelated	['Micchiri Neko']
animeCharacters	['Kotarou', 'Hikomaro', 'Lucky', 'Moko', 'Kotetsu', 'Louis', 'Haru', 'Leo', 'Narrator']
animeVoices	['Narisawa, Suguru', 'Nishimori, Chihiro', 'Miyazaki, Akari', 'Kinoshita, Suzuna', 'Mashiro, Kentarou', 'Ninomiya, Yui', 'Aira, Rin', 'Matsunaga, Akane', 'Uehara, Risa']
animeStaff	[['Yamamoto, Yuuzou', 'Director'], ['Minagawa, Tomomi', 'Character Design'], ['Satou, Tadashi', 'Series Composition']]
