animeTitle	Street Fighter IV: Aratanaru Kizuna
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	3863
animeRank	
animePopularity	6017
animeDescription	"CAPCOM has announced an anime feature based on its Street Fighter IV fighting game at Tokyo Game Show.

The feature will show what happens to the characters after Street Fighter II, including: Cammy walking through the woods with a group of troops, Ryu awakening to his dark side, Sakura and Chun-Li fighting together against a gang of thugs, and Crimson Viper fighting against Ryu.

(Source: ANN)"
animeRelated	['Street Fighter II Movie', 'Street Fighter IV: Aftermath']
animeCharacters	['Ryuu', 'Masters, Ken', 'Chun-Li', 'Gouki', 'Kasugano, Sakura', 'White, Cammy', 'Balrog', 'Guile', 'Seth', 'Viper, Crimson']
animeVoices	['Takahashi, Hiroki', 'Kishi, Yuuji', 'Orikasa, Fumiko', 'Taketora', 'Fukuen, Misato', 'Sawashiro, Miyuki', 'Suwabe, Junichi', 'Yasumoto, Hiroki', 'Ootsuka, Akio', 'Sonozaki, Mie']
animeStaff	[['Kanai, Jirou', 'Director, Storyboard, Key Animation, Character Design, Animation Director'], ['Jaffe, Taliesin', 'ADR Director'], ['Fukasawa, Hideyuki', 'Music'], ['Capcom', 'Original Creator']]
