animeTitle	Nami
animeType	Movie
animeNumEpisode	1
releaseDate	2000-01-01 00:00:00
endDate	
animeNumMembers	13771
animeScore	2.29
animeUsers	9669
animeRank	12010
animePopularity	4686
animeDescription	"A woman is enjoying herself in bed until a swarm of fish bursts out from all over her house to disturb her leisure time. Will she decide to resist, or let them crawl inside her and take control?

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
