animeTitle	b'Kotowaza House'
animeType	b'TV'
animeNumEpisode	773
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	119
animeRank	
animePopularity	
animeDescription	b'A public service proverb-of-the-week anime.\n\nPeter the salary man lives a very unhealthy lifestyle, starving then bingeing until he feels seek, or slobbing around the house until badgered into taking up exercise, during which he invariably pulls a muscle.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Peter', b'Doctor', b'Nurse', b'Grandma', b'Saeko']
animeVoices	[b'\nTakemura, Hiroshi\nJapanese\n', b'\nSatou, Ai\nJapanese\n', b'\nSaito, Sho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Hiroshi\n\nStoryboard\n\n', b'\nWakabayashi, Tadao\n\nAnimation Director\n\n']
